model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
Fabia,2017,9775,37340,20,60.1,1.2,1,0,4,1,0,0
3 Series,2020,40000,2000,145,47.9,3,0,1,1,0,1,0
I10,2018,7495,22773,145,60.1,1,1,0,4,1,0,0
Q5,2020,42500,2000,145,38.2,2,0,1,1,0,1,0
Polo,2015,8650,23723,0,83.1,1.4,1,0,1,0,1,0
Polo,2017,13481,10038,145,60.1,1.2,0,1,4,1,0,0
Fabia,2019,12995,6000,145,61.4,1,1,0,4,1,0,0
Fiesta,2012,4490,52762,150,48.7,1.4,1,0,4,1,0,0
3 Series,2019,27900,123,145,61.4,2,1,0,1,0,1,0
Astra,2016,7682,72317,0,83.1,1.6,1,0,1,0,1,0
GLC Class,2020,25991,14000,145,40.9,2,0,1,1,0,1,0
Land Cruiser,2015,32498,16871,325,34.9,3,0,1,1,0,1,0
I800,2019,18995,15927,145,28,2.5,0,1,1,0,1,0
Polo,2015,7000,53382,20,60.1,1.2,1,0,4,1,0,0
Q7,2017,48995,11279,145,39.2,4,0,1,1,0,1,0
GLE Class,2015,34998,22651,300,39.2,3,0,1,1,0,1,0
Mondeo,2009,4250,15000,300,35.8,2,1,0,4,1,0,0
Fabia,2016,8000,50701,20,60.1,1.2,1,0,4,1,0,0
Tucson,2018,14999,15450,150,35.3,1.6,1,0,4,1,0,0
Q5,2015,22995,66000,235,42.8,3,0,1,1,0,1,0
A5,2019,28985,10,145,39.8,2,0,1,4,1,0,0
Fiesta,2019,14000,3889,145,56.5,1,1,0,4,1,0,0
Astra,2017,9760,18881,20,62.8,1,1,0,4,1,0,0
GTC,2016,7250,17775,200,42.8,1.4,0,1,4,1,0,0
Yaris,2018,9509,27830,145,58.9,1.5,1,0,4,1,0,0
Fabia,2017,9900,31913,20,58.9,1.2,1,0,4,1,0,0
Fabia,2018,9898,7090,150,57.7,1,1,0,4,1,0,0
Kona,2019,14298,10757,145,44.1,1,1,0,4,1,0,0
Fiesta,2016,8291,30155,0,65.7,1,1,0,4,1,0,0
I10,2018,8500,5130,145,57.6,1.2,1,0,4,1,0,0
Tucson,2016,15495,53603,125,57.6,1.7,0,1,1,0,1,0
Mondeo,2010,4699,76249,205,50.4,1.8,1,0,1,0,1,0
Fiesta,2017,10698,21041,0,78.5,1.5,1,0,1,0,1,0
Fiesta,2019,13250,14165,145,65.7,1,1,0,4,1,0,0
Mokka X,2017,11000,35562,150,56.5,1.6,0,1,1,0,1,0
2 Series,2019,24490,8615,150,60.1,2,1,0,1,0,1,0
Fiesta,2019,11500,735,145,48.7,1.1,1,0,4,1,0,0
I10,2017,7495,13500,145,60.1,1,1,0,4,1,0,0
Golf,2015,16000,45930,145,47.1,2,1,0,4,1,0,0
Mokka,2014,9495,30889,205,41.5,1.4,0,1,4,1,0,0
Auris,2013,11895,31718,0,72.4,1.8,0,1,2,0,0,1
GLC Class,2019,42676,11302,150,40.4,2,0,1,1,0,1,0
X2,2019,31800,2188,150,34.9,2,0,1,4,1,0,0
A6,2019,27985,688,145,47.9,2,0,1,1,0,1,0
C-HR,2017,20575,25038,0,74.3,1.8,0,1,2,0,0,1
Crossland X,2017,10999,25225,145,57.7,1.2,1,0,4,1,0,0
Aygo,2017,7000,12863,0,69,1,1,0,4,1,0,0
Superb,2017,16290,23144,145,62.8,2,0,1,1,0,1,0
Superb,2018,18995,20962,150,61.4,2,0,1,1,0,1,0
Mokka X,2017,9850,19436,145,47.1,1.4,1,0,4,1,0,0
2 Series,2020,26883,101,145,40.9,1.5,0,1,4,1,0,0
4 Series,2019,27940,7102,145,58.9,2,0,1,1,0,1,0
E Class,2018,35995,8396,150,41.5,3,0,1,1,0,1,0
Mokka X,2017,9699,33152,205,42.2,1.6,1,0,4,1,0,0
X1,2016,20845,17699,160,44.8,2,0,1,4,1,0,0
A Class,2018,20450,6511,150,65.7,1.5,0,1,1,0,1,0
2 Series,2017,18999,25244,145,65.7,2,0,1,1,0,1,0
Golf,2016,11499,40827,30,53.3,1.4,0,1,4,1,0,0
E Class,2019,52732,7218,145,32.1,3,0,1,4,1,0,0
Q2,2018,19995,8215,145,47.9,1.6,1,0,1,0,1,0
C Class,2019,19980,13936,145,46.3,1.5,0,1,4,1,0,0
1 Series,2017,21307,12969,145,39.8,3,0,1,4,1,0,0
Tiguan,2016,16498,48858,150,53.3,2,1,0,1,0,1,0
Crossland X,2019,14400,5650,145,47.1,1.2,1,0,4,1,0,0
Focus,2018,18277,18646,145,67.3,2,1,0,1,0,1,0
Ioniq,2019,18695,14687,135,78.5,1.6,0,1,2,0,0,1
Auris,2017,15495,15500,135,72.4,1.8,0,1,2,0,0,1
Edge,2017,19303,43745,200,47.9,2,0,1,1,0,1,0
A3,2017,17990,16000,145,65.7,2,1,0,1,0,1,0
Fabia,2018,10995,6000,145,64.2,1,1,0,4,1,0,0
Yaris,2019,12990,2557,145,47.9,1.5,1,0,4,1,0,0
I30,2014,7295,37000,160,51.4,1.6,0,1,1,0,1,0
Kuga,2019,20499,2554,150,47.9,2,1,0,1,0,1,0
Octavia,2016,10995,25940,20,70.6,2,1,0,1,0,1,0
A3,2019,22490,14300,145,42.2,1.5,0,1,4,1,0,0
Tucson,2016,13495,37452,125,57.6,1.7,0,1,1,0,1,0
Mokka X,2017,11810,5322,145,47.1,1.4,1,0,4,1,0,0
Aygo,2019,8199,7179,145,56.5,1,1,0,4,1,0,0
Octavia,2019,12999,13752,145,68.9,1.6,1,0,1,0,1,0
Karoq,2020,22995,1079,150,42.2,1.5,1,0,4,1,0,0
Kuga,2017,14998,33184,125,60.1,2,1,0,1,0,1,0
Grandland X,2018,17999,12689,145,44.1,1.2,1,0,4,1,0,0
1 Series,2014,9991,49064,30,65.7,2,1,0,1,0,1,0
Karoq,2018,16290,6120,150,62.8,1.6,1,0,1,0,1,0
IX20,2017,10247,4817,125,50.4,1.4,1,0,4,1,0,0
Kamiq,2019,22503,1510,145,47.1,1,1,0,4,1,0,0
Caravelle,2018,34999,13107,145,47.1,2,0,1,1,0,1,0
Ioniq,2018,14600,56118,135,78.5,1.6,0,1,2,0,0,1
Corsa,2017,7499,25493,145,54.3,1.4,1,0,4,1,0,0
Grand C-MAX,2017,10995,14789,30,64.2,1.5,1,0,1,0,1,0
Touareg,2020,42999,9737,145,34.5,3,0,1,1,0,1,0
C Class,2017,17490,35576,145,64.2,2.1,0,1,1,0,1,0
Kamiq,2020,16490,3942,145,49.6,1,1,0,4,1,0,0
Yaris,2017,9325,29600,150,58.9,1.5,1,0,4,1,0,0
X1,2016,20490,30715,125,57.6,2,0,1,1,0,1,0
Polo,2008,3195,58500,160,43.5,1.4,1,0,4,1,0,0
E Class,2019,37980,2138,145,53.3,2,0,1,1,0,1,0
Golf,2015,11495,30000,30,53.3,1.4,1,0,4,1,0,0
6 Series,2017,23750,25338,200,49.6,3,0,1,1,0,1,0
Focus,2012,4699,67226,30,56.5,1,1,0,4,1,0,0
1 Series,2014,11399,56926,30,64.2,2,0,1,1,0,1,0
Fabia,2017,8190,31504,145,64.2,1,1,0,4,1,0,0
B-MAX,2015,7890,16796,160,44.1,1.6,0,1,4,1,0,0
TT,2017,17990,11452,150,47.1,1.8,1,0,4,1,0,0
A Class,2017,16798,24388,20,68.9,1.5,1,0,1,0,1,0
2 Series,2019,21980,4887,145,65.7,2,0,1,1,0,1,0
Fabia,2016,7490,38385,20,60.1,1.2,1,0,4,1,0,0
Shuttle,2019,32395,5000,145,33.2,2,0,1,1,0,1,0
Q2,2019,22000,4647,145,47.9,1.6,1,0,1,0,1,0
Superb,2017,16995,12210,150,61.4,2,0,1,1,0,1,0
GLA Class,2020,27980,16,145,35.8,1.6,0,1,4,1,0,0
Corsa,2019,8700,8222,145,55.4,1.4,1,0,4,1,0,0
Mokka X,2017,12190,13969,160,43.5,1.4,0,1,4,1,0,0
Q2,2019,19926,4383,145,47.1,1,1,0,4,1,0,0
Yaris,2007,2499,92200,235,39.2,1.8,1,0,4,1,0,0
Tucson,2019,16395,5338,145,34.9,1.6,1,0,4,1,0,0
Insignia,2017,13032,36011,145,54.3,2,1,0,1,0,1,0
Fabia,2017,7785,20972,20,60.1,1.2,1,0,4,1,0,0
Focus,2019,17998,12027,145,74.3,1.5,1,0,1,0,1,0
Q3,2015,14490,57800,145,54.3,2,0,1,1,0,1,0
Up,2013,5999,43623,20,60.1,1,1,0,4,1,0,0
Golf,2017,18999,25000,150,57.7,2,0,1,1,0,1,0
A6,2017,20875,33000,150,61.4,2,0,1,1,0,1,0
Aygo,2016,5995,54182,0,69,1,1,0,4,1,0,0
T-Roc,2019,21991,3500,145,53.3,1.5,1,0,4,1,0,0
Q5,2019,38000,4433,145,32.1,2,0,1,4,1,0,0
Fiesta,2019,13998,9957,145,58.9,1,1,0,4,1,0,0
GLC Class,2019,34945,6420,145,56.5,2.1,0,1,1,0,1,0
Yaris,2017,9299,6312,145,58.9,1.5,1,0,4,1,0,0
C Class,2019,23280,3908,145,44.1,1.5,0,1,4,1,0,0
Tucson,2017,13690,34559,145,58.9,2,1,0,1,0,1,0
RAV4,2016,19490,32311,20,57.6,2.5,0,1,2,0,0,1
B Class,2019,20380,14457,145,45.6,1.3,0,1,4,1,0,0
Golf,2017,23490,23658,145,39.8,2,0,1,4,1,0,0
Yeti Outdoor,2017,12495,20718,30,62.8,2,1,0,1,0,1,0
Adam,2014,5821,30897,125,51.4,1.4,1,0,4,1,0,0
Yaris,2015,7999,39498,30,58,1.3,0,1,4,1,0,0
IX20,2016,9995,3000,160,43.5,1.6,0,1,4,1,0,0
Polo,2016,8750,43000,20,60.1,1,1,0,4,1,0,0
Tiguan,2015,17999,21430,165,49.6,2,0,1,1,0,1,0
GLC Class,2016,24480,31730,125,56.5,2.1,0,1,1,0,1,0
Golf,2016,17300,35661,30,62.8,2,0,1,1,0,1,0
2 Series,2019,23980,8452,145,61.4,2,0,1,1,0,1,0
X2,2019,22000,4931,145,41.5,1.5,1,0,4,1,0,0
Yaris,2015,7499,21854,30,55,1.3,1,0,4,1,0,0
Focus,2018,18000,8607,145,47.9,1.5,0,1,4,1,0,0
A4,2016,11500,68215,125,53.3,1.4,1,0,4,1,0,0
Yaris,2018,14995,14408,135,67.3,1.5,0,1,2,0,0,1
Corsa,2019,9995,4655,145,43.5,1.4,1,0,4,1,0,0
A6,2019,30985,1863,145,47.9,2,0,1,1,0,1,0
Viva,2016,5999,33000,20,62.8,1,1,0,4,1,0,0
Polo,2017,10990,12730,150,60.1,1,1,0,4,1,0,0
I30,2015,6698,64365,0,78.4,1.6,1,0,1,0,1,0
Fabia,2018,6995,30737,145,57.7,1,1,0,4,1,0,0
A5,2013,9691,80931,30,64.2,2,1,0,1,0,1,0
A5,2019,28995,3000,145,40.4,2,0,1,4,1,0,0
I30,2019,17690,4765,145,42.2,1.4,1,0,4,1,0,0
Q8,2019,53981,9432,145,33.6,3,0,1,1,0,1,0
Golf,2016,19995,30657,200,39.8,2,0,1,4,1,0,0
A5,2019,28880,100,145,39.8,2,0,1,4,1,0,0
Aygo,2018,7998,8224,145,56.5,1,1,0,4,1,0,0
Yaris,2019,11490,8793,150,47.9,1.5,1,0,4,1,0,0
IX20,2017,8750,13675,145,64.2,1.6,1,0,1,0,1,0
Polo,2016,8750,45398,20,60.1,1.2,1,0,4,1,0,0
A Class,2015,22553,25191,200,40.9,2,0,1,4,1,0,0
Edge,2019,33495,1,145,37.2,2,0,1,1,0,1,0
Golf,2019,18995,8196,150,44.8,1.5,1,0,4,1,0,0
Fabia,2019,12999,5115,145,51.4,1,1,0,4,1,0,0
Polo,2018,9995,41545,150,60.1,1,1,0,4,1,0,0
A Class,2019,26992,4930,145,62.8,1.5,0,1,1,0,1,0
A4,2013,12495,51000,150,53.3,2,0,1,1,0,1,0
Crossland X,2017,8799,32000,150,54.3,1.2,1,0,4,1,0,0
Focus,2019,16998,23178,145,60.1,1,1,0,4,1,0,0
Touareg,2019,44995,100,145,34.5,3,0,1,1,0,1,0
Aygo,2019,8890,8121,145,56.5,1,1,0,4,1,0,0
A8,2018,36995,2905,145,40.4,3,0,1,1,0,1,0
Crossland X,2019,13799,15357,145,47.1,1.2,1,0,4,1,0,0
Q5,2020,34990,6000,145,38.2,2,0,1,1,0,1,0
4 Series,2019,22690,4940,150,65.7,2,0,1,1,0,1,0
GLE Class,2017,38980,24240,145,39.2,3,0,1,1,0,1,0
RAV4,2019,29498,9727,135,49.6,2.5,0,1,2,0,0,1
A Class,2018,19498,12353,145,53.3,1.3,0,1,4,1,0,0
Fiesta,2019,13799,14389,145,55.4,1,1,0,4,1,0,0
A Class,2018,19998,4888,145,53.3,1.3,0,1,4,1,0,0
C-HR,2017,20495,29944,0,74.3,1.8,0,1,2,0,0,1
Auris,2016,12295,38237,0,78.5,1.8,0,1,2,0,0,1
Aygo,2018,8990,19452,145,67.3,1,0,1,4,1,0,0
C Class,2018,19980,26119,145,61.4,2.1,0,1,1,0,1,0
GLA Class,2016,17990,30171,125,56.5,2.1,0,1,1,0,1,0
I10,2017,7200,8129,20,60.1,1,1,0,4,1,0,0
Q3,2017,18696,23008,145,56.5,2,1,0,1,0,1,0
I10,2019,9989,50,145,49.6,1,1,0,4,1,0,0
A4,2019,23350,6936,145,39.2,2,1,0,4,1,0,0
Astra,2019,14999,33,145,72.4,1.6,1,0,1,0,1,0
Golf,2015,10991,27704,30,56.5,1.4,0,1,4,1,0,0
Golf,2018,16490,15300,145,47.1,1.5,0,1,4,1,0,0
4 Series,2019,33890,10,145,51.4,3,0,1,1,0,1,0
Santa Fe,2019,31390,13675,150,39.8,2.2,0,1,1,0,1,0
Corsa,2015,6490,32654,125,52.3,1.2,1,0,4,1,0,0
Corsa,2014,3500,71000,0,85.6,1.2,1,0,1,0,1,0
Ioniq,2020,21495,3000,135,62.8,1.6,0,1,2,0,0,1
I20,2019,11795,5409,150,46.3,1.2,1,0,4,1,0,0
Avensis,2018,12295,31427,145,67.3,1.6,1,0,1,0,1,0
Puma,2020,21795,680,145,50.4,1,1,0,4,1,0,0
Aygo,2013,3590,50853,0,65.7,1,1,0,4,1,0,0
Q3,2016,18991,19681,145,55.4,2,0,1,1,0,1,0
Fiesta,2018,10999,35880,145,62.8,1,1,0,4,1,0,0
Zafira,2016,10499,43961,200,42.2,1.4,1,0,4,1,0,0
Octavia,2017,12998,36620,145,62.8,2,0,1,1,0,1,0
Astra,2017,8700,15256,145,62.8,1,1,0,4,1,0,0
Yaris,2015,7780,28023,30,55,1.3,1,0,4,1,0,0
I20,2017,8493,46443,145,45.6,1.4,0,1,4,1,0,0
Octavia,2017,9990,49144,0,72.4,1.6,1,0,1,0,1,0
Focus,2019,17999,2594,145,67.3,1.5,0,1,1,0,1,0
Fiesta,2013,6698,28685,30,54.3,1.2,1,0,4,1,0,0
1 Series,2016,16480,20308,145,47.9,1.6,0,1,4,1,0,0
3 Series,2019,33999,8680,135,8.8,2,0,1,2,0,0,1
Auris,2016,15495,31697,0,78.5,1.8,0,1,2,0,0,1
Caddy Maxi Life,2019,18250,13891,145,44.1,2,0,1,1,0,1,0
RAV4,2017,18495,40101,20,57.6,2.5,0,1,2,0,0,1
A Class,2019,18190,12162,145,65.7,1.5,0,1,1,0,1,0
Polo,2017,11532,7944,145,60.1,1.2,1,0,4,1,0,0
GLC Class,2020,41900,250,145,40.9,2,0,1,1,0,1,0
TT,2015,16490,31321,150,47.9,2,1,0,4,1,0,0
A Class,2017,17712,28663,125,52.3,1.6,0,1,4,1,0,0
Citigo,2017,7895,3342,145,68.9,1,1,0,4,1,0,0
I10,2017,7500,16733,30,57.7,1.2,1,0,4,1,0,0
Tucson,2017,15498,18062,145,57.6,1.7,0,1,1,0,1,0
Polo,2018,10750,26212,150,60.1,1,1,0,4,1,0,0
Corsa,2019,9800,15616,145,43.5,1.4,1,0,4,1,0,0
KA,2014,4750,46416,30,57.7,1.2,1,0,4,1,0,0
Astra,2017,9700,37845,145,51.4,1.4,0,1,4,1,0,0
X7,2019,65520,8574,145,33.6,3,0,1,1,0,1,0
Scala,2019,15995,5449,150,45.6,1.5,0,1,4,1,0,0
Insignia,2016,6990,80000,20,68.9,1.6,1,0,1,0,1,0
KA,2018,9899,6000,145,43.5,0,1,0,4,1,0,0
Passat,2017,15698,28253,145,62.8,2,0,1,1,0,1,0
Tucson,2017,13750,24367,125,57.6,1.7,0,1,1,0,1,0
Karoq,2018,19990,23265,145,50.4,1.5,0,1,4,1,0,0
Grandland X,2018,13587,11011,145,70.6,1.6,1,0,1,0,1,0
3 Series,2018,18695,25876,145,64.2,2,0,1,1,0,1,0
A1,2017,12800,20351,30,55.4,1.4,1,0,4,1,0,0
GLC Class,2018,38990,10638,145,34,3,0,1,4,1,0,0
Kuga,2018,16498,15645,145,64.2,1.5,1,0,1,0,1,0
GLB Class,2020,35400,1508,145,47.9,2,0,1,1,0,1,0
Octavia,2019,13000,15084,145,68.9,1.6,1,0,1,0,1,0
Zafira,2017,11812,22305,205,41.5,1.4,1,0,4,1,0,0
A4,2016,15270,24673,20,72.4,2,1,0,1,0,1,0
Ka+,2019,10000,3914,145,47.9,1.2,1,0,4,1,0,0
A1,2017,12995,16763,145,55.4,1.4,1,0,4,1,0,0
Mondeo,2016,12990,42500,0,67.3,2,0,1,2,0,0,1
Yaris,2018,10310,10564,145,58.9,1.5,1,0,4,1,0,0
A1,2015,11210,36370,30,55.4,1.4,1,0,4,1,0,0
Golf,2018,12999,24200,145,58.9,1,1,0,4,1,0,0
Karoq,2019,21000,4354,145,62.8,1.6,0,1,1,0,1,0
Fiesta,2016,7986,19763,125,54.3,1.2,1,0,4,1,0,0
Fabia,2019,12991,4564,145,52.3,1,1,0,4,1,0,0
Focus,2017,9950,36590,20,61.4,1,1,0,4,1,0,0
Tiguan,2018,23499,10050,150,49.6,2,0,1,1,0,1,0
A1,2016,14998,19687,30,70.6,1.4,0,1,4,1,0,0
Octavia,2016,9995,57951,0,74.3,1.6,0,1,1,0,1,0
4 Series,2019,23490,8175,150,65.7,2,0,1,1,0,1,0
Q2,2019,23500,8000,145,40.9,1.5,0,1,4,1,0,0
Tucson,2019,16390,2220,150,34.9,1.6,1,0,4,1,0,0
Fabia,2018,15275,3957,145,70.6,1.4,1,0,1,0,1,0
GLC Class,2017,23242,52214,125,56.5,2.1,0,1,1,0,1,0
Kona,2018,16995,16500,145,52.3,1,1,0,4,1,0,0
A1,2016,9950,24396,0,67.3,1,1,0,4,1,0,0
I10,2015,5990,26541,30,57.6,1.2,1,0,4,1,0,0
Polo,2019,19999,5000,150,39.8,2,0,1,4,1,0,0
C Class,2017,15690,35488,20,65.7,2.1,0,1,1,0,1,0
5 Series,2019,26490,10656,150,65.7,2,0,1,1,0,1,0
Yaris,2016,15895,11340,0,78,1.5,0,1,2,0,0,1
Corsa,2014,6436,18630,125,51.4,1.2,1,0,4,1,0,0
Caravelle,2019,40000,2000,150,33.6,2,0,1,1,0,1,0
GLC Class,2018,29062,26500,145,56.5,2.1,0,1,1,0,1,0
IX35,2015,9498,42865,150,53.3,1.7,1,0,1,0,1,0
EcoSport,2017,9400,29474,145,52.3,1,1,0,4,1,0,0
1 Series,2019,21990,7734,145,41.5,1.5,1,0,4,1,0,0
Santa Fe,2018,19483,33911,145,42.8,2.2,0,1,1,0,1,0
Golf,2017,16995,29985,30,62.8,2,0,1,1,0,1,0
4 Series,2019,26990,4278,150,52.3,3,0,1,1,0,1,0
Polo,2015,8300,43006,20,60.1,1.2,1,0,4,1,0,0
I10,2019,9491,3000,145,49.6,1,1,0,4,1,0,0
Fabia,2017,9250,14940,20,60.1,1.2,1,0,4,1,0,0
Yaris,2016,11975,23330,0,78,1.5,0,1,2,0,0,1
I20,2020,12980,1298,145,46.3,1.2,1,0,4,1,0,0
A5,2019,35850,10500,145,47.9,2,0,1,1,0,1,0
X3,2018,30980,4813,145,54.3,2,0,1,1,0,1,0
Kamiq,2019,19990,2856,145,44.1,1.5,0,1,4,1,0,0
X4,2019,41850,5789,145,26.9,3,0,1,4,1,0,0
C Class,2020,37995,5000,145,46.3,1.5,0,1,4,1,0,0
Focus,2016,9998,21243,20,60.1,1,1,0,4,1,0,0
Yaris,2014,8990,22695,30,55.4,1.3,0,1,4,1,0,0
Kodiaq,2018,23995,20867,145,38.2,2,0,1,4,1,0,0
C Class,2019,28995,5196,145,57.7,2,0,1,1,0,1,0
Q5,2014,19995,50500,235,44.1,3,0,1,1,0,1,0
Santa Fe,2017,21849,26385,235,42.8,2.2,0,1,1,0,1,0
Tucson,2018,19894,8700,145,47.1,1.6,0,1,1,0,1,0
S Class,2015,24998,29036,160,50.4,3,0,1,1,0,1,0
Polo,2012,6699,31341,145,47.9,1.4,1,0,4,1,0,0
Citigo,2017,6995,62051,20,64.2,1,0,1,4,1,0,0
Avensis,2012,8750,40796,205,42.2,1.8,0,1,4,1,0,0
C Class,2019,25980,14284,145,61.4,2,0,1,1,0,1,0
Superb,2019,29995,4800,145,33.2,2,0,1,4,1,0,0
C Class,2017,23890,23479,145,42.2,2,0,1,4,1,0,0
Focus,2017,11498,15378,20,61.4,1,1,0,4,1,0,0
Yaris,2017,8995,51032,30,58,1.3,0,1,4,1,0,0
C Class,2019,46755,168,145,29.7,3,0,1,4,1,0,0
Golf,2018,14500,16068,145,54.3,1.4,1,0,4,1,0,0
Yaris,2019,10660,5988,145,47.9,1.5,1,0,4,1,0,0
EcoSport,2018,11660,14453,145,54.3,1,1,0,4,1,0,0
Combo Life,2019,13998,11685,145,53.3,1.5,1,0,1,0,1,0
I30,2015,6998,54755,0,78.4,1.6,1,0,1,0,1,0
EcoSport,2017,10100,13556,30,64.2,1.5,1,0,1,0,1,0
Superb,2017,15498,22522,20,68.9,2,1,0,1,0,1,0
Q2,2018,17990,21110,150,55.4,1,1,0,4,1,0,0
Q5,2013,18990,52822,260,35.8,2,0,1,4,1,0,0
GLA Class,2020,27980,16,145,35.8,1.6,0,1,4,1,0,0
KA,2009,2995,73000,30,55.4,1.2,1,0,4,1,0,0
X3,2019,43740,3280,145,54.3,2,0,1,1,0,1,0
C Class,2019,28990,5904,145,55.4,2,0,1,1,0,1,0
1 Series,2019,27490,2270,145,51.4,2,0,1,1,0,1,0
Tiguan,2017,20495,20000,145,48.7,1.4,1,0,4,1,0,0
RAV4,2016,19995,40827,20,55.4,2.5,0,1,2,0,0,1
Fiesta,2019,14995,7166,145,56.5,1,1,0,4,1,0,0
2 Series,2019,21975,3513,145,52.3,1.5,1,0,4,1,0,0
Passat,2019,24490,5284,145,39.2,1.5,0,1,4,1,0,0
Insignia,2016,8360,48903,20,72.4,1.6,1,0,1,0,1,0
Superb,2016,13490,46125,20,68.9,2,1,0,1,0,1,0
Octavia,2016,12899,49455,30,64.2,2,1,0,1,0,1,0
Ka+,2017,7990,12194,145,57.7,1.2,1,0,4,1,0,0
Santa Fe,2019,32494,9445,150,39.2,2.2,0,1,1,0,1,0
Auris,2016,8750,33123,30,58.9,1.2,1,0,4,1,0,0
IX35,2013,7996,51400,145,53.3,1.7,1,0,1,0,1,0
TT,2015,15998,21725,145,47.9,2,1,0,4,1,0,0
Superb,2019,21495,8814,145,41.5,1.5,0,1,4,1,0,0
A4,2016,12170,29825,125,53.3,1.4,1,0,4,1,0,0
Crossland X,2019,12299,14231,145,44.8,1.2,1,0,4,1,0,0
Fiesta,2017,12979,12518,145,47.9,1.6,1,0,4,1,0,0
Q2,2020,23888,500,145,42.2,1.5,0,1,4,1,0,0
Focus,2016,8980,56000,0,74.3,1.5,1,0,1,0,1,0
Mokka,2016,10998,9437,165,43.5,1.4,0,1,4,1,0,0
Tucson,2017,16457,27911,125,57.6,1.7,0,1,1,0,1,0
Golf,2015,12750,78990,20,67.3,2,1,0,1,0,1,0
Yaris,2016,11215,5990,30,55,1.3,0,1,4,1,0,0
Polo,2017,9498,25567,145,60.1,1.2,1,0,4,1,0,0
1 Series,2017,20998,14992,145,39.8,3,0,1,4,1,0,0
Corsa,2018,9450,17017,150,54.3,1.4,1,0,4,1,0,0
Yaris,2017,12287,25465,135,67.3,1.5,0,1,2,0,0,1
GLC Class,2016,21980,23000,125,56.5,2.1,0,1,1,0,1,0
I30,2019,24500,4983,145,34,2,1,0,4,1,0,0
Fabia,2018,7995,14406,145,57.7,1,1,0,4,1,0,0
Golf,2019,27790,10892,145,32.8,2,0,1,4,1,0,0
Polo,2017,7899,37217,145,60.1,1,1,0,4,1,0,0
Insignia,2016,5680,117000,30,62.8,2,1,0,1,0,1,0
I40,2014,7700,66031,200,47.1,1.7,0,1,1,0,1,0
Focus,2017,12000,18116,145,74.3,1.5,1,0,1,0,1,0
Fabia,2018,12795,12049,145,64.2,1,1,0,4,1,0,0
Land Cruiser,2015,29070,45158,325,34.9,3,0,1,1,0,1,0
A1,2015,10980,40222,0,80.7,1.6,1,0,1,0,1,0
A1,2015,11800,20518,0,80.7,1.6,1,0,1,0,1,0
Yaris,2015,11000,19600,0,78,1.5,0,1,2,0,0,1
5 Series,2019,25490,5656,150,50.4,2,0,1,4,1,0,0
Yeti Outdoor,2017,12792,14399,125,51.4,1.2,1,0,4,1,0,0
Octavia,2018,14295,17595,145,67.3,2,0,1,1,0,1,0
Fiesta,2014,7200,23594,0,65.7,1,1,0,4,1,0,0
Corsa,2019,8350,7441,145,43.5,1.4,1,0,4,1,0,0
3 Series,2017,22980,12600,160,51.4,3,0,1,1,0,1,0
Corsa,2017,7000,56966,30,55.4,1.4,1,0,4,1,0,0
Yaris,2019,11984,22000,145,47.9,1.5,0,1,4,1,0,0
I20,2018,9995,20165,145,46.3,1.2,1,0,4,1,0,0
C Class,2019,30403,3000,145,46.3,1.5,0,1,4,1,0,0
Corsa,2017,7995,40000,145,80.7,1.2,1,0,1,0,1,0
X3,2019,30850,14260,145,30.4,2,0,1,4,1,0,0
Edge,2018,25498,19364,145,47.9,2,0,1,1,0,1,0
A Class,2018,21980,5162,145,67.3,1.5,0,1,1,0,1,0
Yaris,2016,9495,26191,30,58,1.3,0,1,4,1,0,0
Kona,2018,15000,11421,145,44.1,1,1,0,4,1,0,0
Polo,2017,10299,17406,145,60.1,1.2,1,0,4,1,0,0
3 Series,2019,25990,2980,150,57.7,2,0,1,1,0,1,0
Scala,2019,15299,3000,145,47.1,1,0,1,4,1,0,0
Focus,2019,14998,10464,145,58.9,1,1,0,4,1,0,0
Fabia,2019,12495,3600,145,61.4,1,1,0,4,1,0,0
Grandland X,2018,14050,9389,145,70.6,1.6,1,0,1,0,1,0
Focus,2019,19500,10281,145,51.4,1.5,1,0,4,1,0,0
V Class,2019,49991,10,145,36.7,2,0,1,1,0,1,0
Scala,2019,14990,4451,150,49.6,1,1,0,4,1,0,0
Aygo,2014,6060,13100,0,69,1,1,0,4,1,0,0
A4,2016,16600,29112,0,74.3,2,1,0,1,0,1,0
5 Series,2016,10990,85635,30,65.7,2,1,0,1,0,1,0
Adam,2016,7508,14863,125,53.3,1.2,1,0,4,1,0,0
Citigo,2018,7995,4555,150,64.2,1,1,0,4,1,0,0
Polo,2017,9998,23739,145,58.9,1,1,0,4,1,0,0
Focus,2016,14999,32990,20,67.3,2,1,0,1,0,1,0
T-Cross,2020,20990,2500,145,52.3,1.6,1,0,1,0,1,0
A1,2017,14495,7198,150,64.2,1,0,1,4,1,0,0
I30,2018,11000,16532,150,56.5,1,1,0,4,1,0,0
RAV4,2017,22485,32814,20,55.4,2.5,0,1,2,0,0,1
A1,2013,9998,47565,125,53.3,1.4,0,1,4,1,0,0
Kuga,2018,18498,8924,145,60.1,2,1,0,1,0,1,0
T-Roc,2018,16995,13996,145,55.4,1,1,0,4,1,0,0
A4,2019,26000,7750,145,38.7,2,0,1,4,1,0,0
