model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
Rapid,2014,7195,35798,30,64.2,1.6,1,0,1,0,1,0
2 Series,2019,21773,123,145,49.6,2,0,1,1,0,1,0
A6,2016,31991,24827,330,30.7,4,0,1,4,1,0,0
Yaris,2018,11298,15775,145,56.5,1.5,1,0,4,1,0,0
C Class,2018,27498,9255,145,57.7,2,0,1,1,0,1,0
I10,2017,6240,31050,150,60.1,1,1,0,4,1,0,0
S Class,2019,58700,3767,145,52.3,3,0,1,1,0,1,0
T-Cross,2019,17993,2821,145,47.9,1,1,0,4,1,0,0
Fiesta,2019,13000,1334,145,48.7,1.1,1,0,4,1,0,0
Crossland X,2019,14473,1189,145,47.1,1.2,1,0,4,1,0,0
1 Series,2019,15940,7913,145,53.3,1.5,1,0,4,1,0,0
Fiesta,2016,7300,62206,0,65.7,1,1,0,4,1,0,0
4 Series,2017,21170,8161,145,65.7,2,0,1,1,0,1,0
Aygo,2017,7845,12111,145,68.9,1,1,0,4,1,0,0
Touran,2017,19000,29395,145,49.6,1.4,1,0,4,1,0,0
Fusion,2005,2095,31000,200,41.5,1.4,1,0,4,1,0,0
GLA Class,2017,17998,47465,145,64.2,2.1,0,1,1,0,1,0
GLC Class,2017,28498,26299,145,56.5,2.1,0,1,1,0,1,0
Viva,2019,7995,10,145,46.3,1,1,0,4,1,0,0
Caddy Maxi Life,2020,22490,89,145,46.3,2,0,1,1,0,1,0
Hilux,2020,36995,150,260,2.8,2.4,0,1,1,0,1,0
Q3,2020,33499,4000,145,40.4,1.5,0,1,4,1,0,0
3 Series,2019,23450,11629,145,62.8,2,0,1,1,0,1,0
C Class,2019,28896,6765,145,61.4,2,0,1,1,0,1,0
Superb,2018,15498,19455,145,54.3,1.4,0,1,4,1,0,0
Mokka X,2017,12698,3173,145,47.1,1.4,1,0,4,1,0,0
Kona,2018,14450,14839,150,44.1,1,1,0,4,1,0,0
Combo Life,2019,13498,10994,145,53.3,1.5,1,0,1,0,1,0
1 Series,2017,14495,20031,30,58.9,1.5,0,1,4,1,0,0
Tucson,2017,13498,25424,30,61.7,1.7,1,0,1,0,1,0
I20,2017,8995,12245,20,62.8,1,1,0,4,1,0,0
Octavia,2016,9298,53617,30,55.4,1.4,1,0,4,1,0,0
Corsa,2019,10998,7842,150,44.8,1.4,1,0,4,1,0,0
Corsa,2015,7000,34387,20,64.2,1,1,0,4,1,0,0
3 Series,2018,21980,9684,145,48.7,2,0,1,4,1,0,0
C Class,2019,33980,9,145,57.7,2,0,1,1,0,1,0
A Class,2019,27799,565,145,28.5,2,0,1,4,1,0,0
Focus,2019,24999,6746,145,34.5,2.3,1,0,4,1,0,0
Mondeo,2017,13500,33841,30,64.2,2,1,0,1,0,1,0
Auris,2016,12999,39888,0,72.4,1.8,0,1,2,0,0,1
I10,2016,6495,20500,20,61.4,1,1,0,4,1,0,0
Tucson,2018,14490,11897,145,34.9,1.6,1,0,4,1,0,0
Karoq,2019,23990,3853,150,40.9,1.5,0,1,4,1,0,0
B-MAX,2013,6998,16736,165,44.1,1.6,0,1,4,1,0,0
Corsa,2019,11595,10254,145,43.5,1.4,1,0,4,1,0,0
Yaris,2013,5999,50000,125,51.4,1.3,1,0,4,1,0,0
A5,2016,18480,40586,145,56.5,2,0,1,1,0,1,0
3 Series,2019,26480,5983,145,47.9,2,0,1,4,1,0,0
Yeti Outdoor,2017,15995,21872,150,51.4,2,0,1,1,0,1,0
Corsa,2017,7495,24981,150,54.3,1.4,1,0,4,1,0,0
Kona,2020,25195,1500,135,52.3,1.6,0,1,2,0,0,1
Mokka X,2018,10690,36767,145,39.2,1.4,1,0,4,1,0,0
Auris,2015,10499,26774,125,52.3,1.2,1,0,4,1,0,0
Octavia,2017,10746,9545,20,62.8,1,1,0,4,1,0,0
Auris,2016,10795,28150,30,58.9,1.2,1,0,4,1,0,0
1 Series,2018,16998,11784,145,49.6,2,1,0,1,0,1,0
Q2,2020,28990,5445,150,42.2,1.5,0,1,4,1,0,0
Aygo,2014,5698,53501,0,69,1,1,0,4,1,0,0
X3,2020,35900,4500,150,54.3,2,0,1,1,0,1,0
IX20,2019,14989,2122,145,34.5,1.6,0,1,4,1,0,0
Golf,2019,28995,3500,145,37.7,2,0,1,4,1,0,0
1 Series,2019,19480,4707,145,65.7,2,1,0,1,0,1,0
Astra,2017,11190,12753,125,51.4,1.4,1,0,4,1,0,0
E Class,2014,11950,70000,145,54.3,2.1,0,1,1,0,1,0
Corsa,2016,6995,31000,30,55.4,1.4,1,0,4,1,0,0
Tucson,2016,13888,16422,30,61.7,1.7,1,0,1,0,1,0
A5,2019,30576,2364,145,37.2,2,1,0,4,1,0,0
Aygo,2014,6795,30407,0,69,1,1,0,4,1,0,0
SL CLASS,2019,46995,3443,145,36.7,3,0,1,4,1,0,0
Ioniq,2019,23495,4720,135,78.5,1.6,0,1,2,0,0,1
Tiguan,2017,17950,31725,145,48.7,1.4,1,0,4,1,0,0
Fiesta,2015,8222,25550,0,65.7,1,1,0,4,1,0,0
Golf,2015,11999,19669,30,53.3,1.4,0,1,4,1,0,0
Fabia,2019,10995,3160,145,51.4,1,1,0,4,1,0,0
Q5,2014,15490,69798,200,47.1,2,0,1,1,0,1,0
Kuga,2019,19989,7600,145,46.3,2,0,1,1,0,1,0
Auris,2016,9985,27600,30,58.9,1.2,1,0,4,1,0,0
Ioniq,2018,15089,35934,135,78.5,1.6,0,1,2,0,0,1
Corsa,2016,6899,32737,30,55.4,1.4,1,0,4,1,0,0
C-HR,2019,25995,3246,140,74.3,1.8,0,1,2,0,0,1
Q8,2019,89750,5800,145,30.7,4,0,1,1,0,1,0
Golf,2013,8632,51148,30,56.5,1.4,0,1,4,1,0,0
RAV4,2017,15293,26191,125,60.1,2,1,0,1,0,1,0
Karoq,2019,20498,101,150,50.4,2,1,0,1,0,1,0
Octavia,2019,14695,14741,150,52.3,1.5,1,0,4,1,0,0
Polo,2016,11190,14464,20,60.1,1.2,0,1,4,1,0,0
I20,2010,3499,60179,150,50.4,1.4,1,0,4,1,0,0
Hilux,2018,22498,26198,265,36.2,2.4,0,1,1,0,1,0
1 Series,2013,15991,50039,235,37.7,3,0,1,4,1,0,0
Corsa,2019,10499,3535,150,43.5,1.4,1,0,4,1,0,0
Yaris,2016,8195,30513,30,58,1.3,1,0,4,1,0,0
5 Series,2014,15000,13858,125,57.6,2,0,1,1,0,1,0
C-MAX,2017,11890,10419,20,68.9,1.5,1,0,1,0,1,0
Kodiaq,2019,27850,7209,145,52.3,2,1,0,1,0,1,0
Tiguan,2018,21994,11418,150,40.4,1.4,0,1,4,1,0,0
2 Series,2014,10498,52091,125,58.9,2,1,0,1,0,1,0
Astra,2019,12498,23223,150,51.4,1.4,1,0,4,1,0,0
A5,2016,16498,41431,160,52.3,2,0,1,1,0,1,0
3 Series,2020,28990,5656,145,52.3,2,0,1,1,0,1,0
Mondeo,2017,11990,25490,145,67.3,2,1,0,1,0,1,0
